tau [fm]		R_PiNS^-1
0.25		-0.00846945
0.26		-0.00823449
0.27		-0.00801483
0.28		-0.00780896
0.29		-0.00761556
0.3		-0.00743348
0.31		-0.00726172
0.32		-0.00709939
0.33		-0.0069457
0.34		-0.00679995
0.35		-0.0066615
0.36		-0.00652981
0.37		-0.00640437
0.38		-0.00628473
0.39		-0.00617047
0.4		-0.00606123
0.41		-0.00595667
0.42		-0.00585648
0.43		-0.00576039
0.44		-0.00566813
0.45		-0.00557949
0.46		-0.00549423
0.47		-0.00541216
0.48		-0.0053331
0.49		-0.00525689
0.5		-0.00518336
0.51		-0.00511237
0.52		-0.0050438
0.53		-0.0049775
0.54		-0.00491338
0.55		-0.00485132
0.56		-0.00479122
0.57		-0.00473299
0.58		-0.00467654
0.59		-0.00462179
0.6		-0.00456866
0.61		-0.00451708
0.62		-0.00446699
0.63		-0.00441831
0.64		-0.004371
0.65		-0.00432498
0.66		-0.00428022
0.67		-0.00423666
0.68		-0.00419424
0.69		-0.00415294
0.7		-0.00411271
0.71		-0.00407349
0.72		-0.00403527
0.73		-0.003998
0.74		-0.00396164
0.75		-0.00392618
0.76		-0.00389156
0.77		-0.00385777
0.78		-0.00382478
0.79		-0.00379256
0.8		-0.00376109
0.81		-0.00373034
0.82		-0.00370028
0.83		-0.00367091
0.84		-0.00364219
0.85		-0.0036141
0.86		-0.00358664
0.87		-0.00355977
0.88		-0.00353348
0.89		-0.00350776
0.9		-0.00348259
0.91		-0.00345795
0.92		-0.00343383
0.93		-0.00341022
0.94		-0.0033871
0.95		-0.00336445
0.96		-0.00334228
0.97		-0.00332055
0.98		-0.00329927
0.99		-0.00327842
1		-0.003258
1.01		-0.00323798
1.02		-0.00321837
1.03		-0.00319914
1.04		-0.0031803
1.05		-0.00316184
1.06		-0.00314374
1.07		-0.003126
1.08		-0.00310861
1.09		-0.00309156
1.1		-0.00307484
1.11		-0.00305846
1.12		-0.00304239
1.13		-0.00302664
1.14		-0.0030112
1.15		-0.00299606
1.16		-0.00298122
1.17		-0.00296667
1.18		-0.0029524
1.19		-0.00293842
1.2		-0.00292471
1.21		-0.00291127
1.22		-0.00289809
1.23		-0.00288518
1.24		-0.00287252
1.25		-0.00286011
1.26		-0.00284795
1.27		-0.00283604
1.28		-0.00282436
1.29		-0.00281292
1.3		-0.00280171
1.31		-0.00279073
1.32		-0.00277997
1.33		-0.00276944
1.34		-0.00275912
1.35		-0.00274902
1.36		-0.00273913
1.37		-0.00272945
1.38		-0.00271997
1.39		-0.0027107
1.4		-0.00270163
1.41		-0.00269276
1.42		-0.00268407
1.43		-0.00267559
1.44		-0.00266729
1.45		-0.00265918
1.46		-0.00265125
1.47		-0.00264351
1.48		-0.00263595
1.49		-0.00262857
1.5		-0.00262136
1.51		-0.00261433
1.52		-0.00260747
1.53		-0.00260078
1.54		-0.00259425
1.55		-0.0025879
1.56		-0.00258171
1.57		-0.00257568
1.58		-0.00256982
1.59		-0.00256411
1.6		-0.00255856
1.61		-0.00255317
1.62		-0.00254794
1.63		-0.00254286
1.64		-0.00253793
1.65		-0.00253315
1.66		-0.00252852
1.67		-0.00252403
1.68		-0.0025197
1.69		-0.00251551
1.7		-0.00251146
1.71		-0.00250756
1.72		-0.0025038
1.73		-0.00250018
1.74		-0.00249669
1.75		-0.00249335
1.76		-0.00249014
1.77		-0.00248707
1.78		-0.00248413
1.79		-0.00248133
1.8		-0.00247866
1.81		-0.00247612
1.82		-0.00247371
1.83		-0.00247143
1.84		-0.00246928
1.85		-0.00246726
1.86		-0.00246537
1.87		-0.0024636
1.88		-0.00246196
1.89		-0.00246044
1.9		-0.00245904
1.91		-0.00245777
1.92		-0.00245662
1.93		-0.00245559
1.94		-0.00245469
1.95		-0.0024539
1.96		-0.00245323
1.97		-0.00245268
1.98		-0.00245224
1.99		-0.00245193
2		-0.00245173
2.01		-0.00245164
2.02		-0.00245167
2.03		-0.00245182
2.04		-0.00245207
2.05		-0.00245245
2.06		-0.00245293
2.07		-0.00245352
2.08		-0.00245423
2.09		-0.00245505
2.1		-0.00245597
2.11		-0.00245701
2.12		-0.00245815
2.13		-0.0024594
2.14		-0.00246076
2.15		-0.00246223
2.16		-0.00246381
2.17		-0.00246549
2.18		-0.00246727
2.19		-0.00246917
2.2		-0.00247116
2.21		-0.00247326
2.22		-0.00247547
2.23		-0.00247777
2.24		-0.00248018
2.25		-0.00248269
2.26		-0.00248531
2.27		-0.00248802
2.28		-0.00249084
2.29		-0.00249376
2.3		-0.00249677
2.31		-0.00249989
2.32		-0.00250311
2.33		-0.00250642
2.34		-0.00250983
2.35		-0.00251335
2.36		-0.00251695
2.37		-0.00252066
2.38		-0.00252446
2.39		-0.00252836
2.4		-0.00253236
2.41		-0.00253645
2.42		-0.00254063
2.43		-0.00254492
2.44		-0.00254929
2.45		-0.00255376
2.46		-0.00255833
2.47		-0.00256298
2.48		-0.00256773
2.49		-0.00257258
2.5		-0.00257751
2.51		-0.00258254
2.52		-0.00258766
2.53		-0.00259287
2.54		-0.00259817
2.55		-0.00260357
2.56		-0.00260905
2.57		-0.00261463
2.58		-0.00262029
2.59		-0.00262604
2.6		-0.00263189
2.61		-0.00263782
2.62		-0.00264384
2.63		-0.00264995
2.64		-0.00265614
2.65		-0.00266243
2.66		-0.0026688
2.67		-0.00267526
2.68		-0.00268181
2.69		-0.00268844
2.7		-0.00269516
2.71		-0.00270196
2.72		-0.00270885
2.73		-0.00271583
2.74		-0.00272289
2.75		-0.00273004
2.76		-0.00273727
2.77		-0.00274458
2.78		-0.00275198
2.79		-0.00275946
2.8		-0.00276703
2.81		-0.00277468
2.82		-0.00278241
2.83		-0.00279023
2.84		-0.00279813
2.85		-0.00280611
2.86		-0.00281417
2.87		-0.00282232
2.88		-0.00283054
2.89		-0.00283885
2.9		-0.00284724
2.91		-0.00285571
2.92		-0.00286426
2.93		-0.00287289
2.94		-0.0028816
2.95		-0.00289039
2.96		-0.00289925
2.97		-0.0029082
2.98		-0.00291723
2.99		-0.00292634
3		-0.00293552
3.01		-0.00294478
3.02		-0.00295413
3.03		-0.00296355
3.04		-0.00297304
3.05		-0.00298262
3.06		-0.00299227
3.07		-0.003002
3.08		-0.0030118
3.09		-0.00302168
3.1		-0.00303164
3.11		-0.00304168
3.12		-0.00305179
3.13		-0.00306197
3.14		-0.00307223
3.15		-0.00308257
3.16		-0.00309298
3.17		-0.00310347
3.18		-0.00311403
3.19		-0.00312466
3.2		-0.00313537
3.21		-0.00314615
3.22		-0.00315701
3.23		-0.00316794
3.24		-0.00317894
3.25		-0.00319002
3.26		-0.00320117
3.27		-0.00321239
3.28		-0.00322369
3.29		-0.00323505
3.3		-0.00324649
3.31		-0.003258
3.32		-0.00326958
3.33		-0.00328124
3.34		-0.00329296
3.35		-0.00330476
3.36		-0.00331662
3.37		-0.00332856
3.38		-0.00334057
3.39		-0.00335264
3.4		-0.00336479
3.41		-0.00337701
3.42		-0.0033893
3.43		-0.00340165
3.44		-0.00341408
3.45		-0.00342657
3.46		-0.00343914
3.47		-0.00345177
3.48		-0.00346447
3.49		-0.00347724
3.5		-0.00349007
3.51		-0.00350298
3.52		-0.00351595
3.53		-0.00352899
3.54		-0.00354209
3.55		-0.00355527
3.56		-0.00356851
3.57		-0.00358181
3.58		-0.00359519
3.59		-0.00360863
3.6		-0.00362213
3.61		-0.00363571
3.62		-0.00364934
3.63		-0.00366305
3.64		-0.00367682
3.65		-0.00369065
3.66		-0.00370455
3.67		-0.00371851
3.68		-0.00373254
3.69		-0.00374663
3.7		-0.00376079
3.71		-0.00377501
3.72		-0.00378929
3.73		-0.00380364
3.74		-0.00381805
3.75		-0.00383253
3.76		-0.00384707
3.77		-0.00386167
3.78		-0.00387633
3.79		-0.00389106
3.8		-0.00390585
3.81		-0.0039207
3.82		-0.00393562
3.83		-0.00395059
3.84		-0.00396563
3.85		-0.00398073
3.86		-0.00399589
3.87		-0.00401111
3.88		-0.00402639
3.89		-0.00404173
3.9		-0.00405714
3.91		-0.0040726
3.92		-0.00408813
3.93		-0.00410371
3.94		-0.00411936
3.95		-0.00413506
3.96		-0.00415083
3.97		-0.00416665
3.98		-0.00418253
3.99		-0.00419848
4		-0.00421448
4.01		-0.00423054
4.02		-0.00424666
4.03		-0.00426283
4.04		-0.00427907
4.05		-0.00429536
4.06		-0.00431171
4.07		-0.00432812
4.08		-0.00434459
4.09		-0.00436111
4.1		-0.00437769
4.11		-0.00439433
4.12		-0.00441103
4.13		-0.00442778
4.14		-0.00444459
4.15		-0.00446145
4.16		-0.00447837
4.17		-0.00449535
4.18		-0.00451239
4.19		-0.00452947
4.2		-0.00454662
4.21		-0.00456382
4.22		-0.00458108
4.23		-0.00459839
4.24		-0.00461575
4.25		-0.00463317
4.26		-0.00465065
4.27		-0.00466818
4.28		-0.00468576
4.29		-0.0047034
4.3		-0.00472109
4.31		-0.00473884
4.32		-0.00475664
4.33		-0.00477449
4.34		-0.0047924
4.35		-0.00481035
4.36		-0.00482837
4.37		-0.00484643
4.38		-0.00486455
4.39		-0.00488272
4.4		-0.00490094
4.41		-0.00491922
4.42		-0.00493755
4.43		-0.00495593
4.44		-0.00497436
4.45		-0.00499284
4.46		-0.00501138
4.47		-0.00502996
4.48		-0.0050486
4.49		-0.00506729
4.5		-0.00508603
4.51		-0.00510481
4.52		-0.00512365
4.53		-0.00514254
4.54		-0.00516149
4.55		-0.00518048
4.56		-0.00519952
4.57		-0.00521861
4.58		-0.00523775
4.59		-0.00525694
4.6		-0.00527618
4.61		-0.00529546
4.62		-0.0053148
4.63		-0.00533419
4.64		-0.00535362
4.65		-0.0053731
4.66		-0.00539264
4.67		-0.00541222
4.68		-0.00543185
4.69		-0.00545152
4.7		-0.00547125
4.71		-0.00549102
4.72		-0.00551084
4.73		-0.0055307
4.74		-0.00555062
4.75		-0.00557058
4.76		-0.00559059
4.77		-0.00561064
4.78		-0.00563074
4.79		-0.00565089
4.8		-0.00567109
4.81		-0.00569133
4.82		-0.00571161
4.83		-0.00573195
4.84		-0.00575232
4.85		-0.00577275
4.86		-0.00579322
4.87		-0.00581373
4.88		-0.00583429
4.89		-0.0058549
4.9		-0.00587555
4.91		-0.00589625
4.92		-0.00591699
4.93		-0.00593777
4.94		-0.0059586
4.95		-0.00597947
4.96		-0.00600039
4.97		-0.00602135
4.98		-0.00604236
4.99		-0.0060634
5		-0.0060845
5.01		-0.00610563
5.02		-0.00612681
5.03		-0.00614803
5.04		-0.0061693
5.05		-0.00619061
5.06		-0.00621196
5.07		-0.00623335
5.08		-0.00625479
5.09		-0.00627627
5.1		-0.00629779
5.11		-0.00631935
5.12		-0.00634095
5.13		-0.0063626
5.14		-0.00638429
5.15		-0.00640602
5.16		-0.00642779
5.17		-0.0064496
5.18		-0.00647145
5.19		-0.00649335
5.2		-0.00651528
5.21		-0.00653726
5.22		-0.00655927
5.23		-0.00658133
5.24		-0.00660343
5.25		-0.00662556
5.26		-0.00664774
5.27		-0.00666996
5.28		-0.00669221
5.29		-0.00671451
5.3		-0.00673685
5.31		-0.00675922
5.32		-0.00678164
5.33		-0.00680409
5.34		-0.00682658
5.35		-0.00684911
5.36		-0.00687168
5.37		-0.00689429
5.38		-0.00691694
5.39		-0.00693963
5.4		-0.00696235
5.41		-0.00698511
5.42		-0.00700791
5.43		-0.00703075
5.44		-0.00705363
5.45		-0.00707654
5.46		-0.00709949
5.47		-0.00712248
5.48		-0.0071455
5.49		-0.00716857
5.5		-0.00719166
5.51		-0.0072148
5.52		-0.00723797
5.53		-0.00726118
5.54		-0.00728443
5.55		-0.00730771
5.56		-0.00733103
5.57		-0.00735438
5.58		-0.00737777
5.59		-0.0074012
5.6		-0.00742466
5.61		-0.00744816
5.62		-0.00747169
5.63		-0.00749526
5.64		-0.00751887
5.65		-0.00754251
5.66		-0.00756618
5.67		-0.00758989
5.68		-0.00761363
5.69		-0.00763741
5.7		-0.00766122
5.71		-0.00768507
5.72		-0.00770895
5.73		-0.00773287
5.74		-0.00775682
5.75		-0.0077808
5.76		-0.00780482
5.77		-0.00782887
5.78		-0.00785295
5.79		-0.00787707
5.8		-0.00790122
5.81		-0.00792541
5.82		-0.00794963
5.83		-0.00797388
5.84		-0.00799816
5.85		-0.00802248
5.86		-0.00804682
5.87		-0.00807121
5.88		-0.00809562
5.89		-0.00812007
5.9		-0.00814454
5.91		-0.00816905
5.92		-0.0081936
5.93		-0.00821817
5.94		-0.00824278
5.95		-0.00826741
5.96		-0.00829208
5.97		-0.00831678
5.98		-0.00834151
5.99		-0.00836628
6		-0.00839107
6.01		-0.00841589
6.02		-0.00844075
6.03		-0.00846563
6.04		-0.00849055
6.05		-0.0085155
6.06		-0.00854047
6.07		-0.00856548
6.08		-0.00859052
6.09		-0.00861559
6.1		-0.00864069
6.11		-0.00866581
6.12		-0.00869097
6.13		-0.00871616
6.14		-0.00874137
6.15		-0.00876662
6.16		-0.00879189
6.17		-0.0088172
6.18		-0.00884253
6.19		-0.00886789
6.2		-0.00889328
6.21		-0.0089187
6.22		-0.00894415
6.23		-0.00896962
6.24		-0.00899513
6.25		-0.00902066
6.26		-0.00904622
6.27		-0.00907181
6.28		-0.00909743
6.29		-0.00912308
6.3		-0.00914875
6.31		-0.00917445
6.32		-0.00920018
6.33		-0.00922593
6.34		-0.00925171
6.35		-0.00927752
6.36		-0.00930336
6.37		-0.00932923
6.38		-0.00935512
6.39		-0.00938103
6.4		-0.00940698
6.41		-0.00943295
6.42		-0.00945895
6.43		-0.00948497
6.44		-0.00951102
6.45		-0.0095371
6.46		-0.0095632
6.47		-0.00958933
