tau [fm]		R_PiNS^-1
0.25		-0.00846945
0.26		-0.00826103
0.27		-0.00806448
0.28		-0.00787878
0.29		-0.00770303
0.3		-0.00753641
0.31		-0.00737822
0.32		-0.0072278
0.33		-0.00708458
0.34		-0.00694804
0.35		-0.00681771
0.36		-0.00669316
0.37		-0.006574
0.38		-0.00645989
0.39		-0.0063505
0.4		-0.00624553
0.41		-0.00614473
0.42		-0.00604783
0.43		-0.00595462
0.44		-0.00586488
0.45		-0.00577843
0.46		-0.00569507
0.47		-0.00561465
0.48		-0.00553701
0.49		-0.00546201
0.5		-0.00538951
0.51		-0.00531939
0.52		-0.00525155
0.53		-0.00518586
0.54		-0.00512222
0.55		-0.00506055
0.56		-0.00500076
0.57		-0.00494276
0.58		-0.00488647
0.59		-0.00483182
0.6		-0.00477875
0.61		-0.00472718
0.62		-0.00467706
0.63		-0.00462833
0.64		-0.00458093
0.65		-0.00453482
0.66		-0.00448994
0.67		-0.00444626
0.68		-0.00440371
0.69		-0.00436228
0.7		-0.0043219
0.71		-0.00428256
0.72		-0.00424421
0.73		-0.00420681
0.74		-0.00417035
0.75		-0.00413478
0.76		-0.00410009
0.77		-0.00406623
0.78		-0.00403319
0.79		-0.00400094
0.8		-0.00396945
0.81		-0.00393871
0.82		-0.0039087
0.83		-0.00387938
0.84		-0.00385074
0.85		-0.00382277
0.86		-0.00379545
0.87		-0.00376875
0.88		-0.00374266
0.89		-0.00371716
0.9		-0.00369225
0.91		-0.0036679
0.92		-0.0036441
0.93		-0.00362084
0.94		-0.0035981
0.95		-0.00357588
0.96		-0.00355416
0.97		-0.00353292
0.98		-0.00351216
0.99		-0.00349187
1		-0.00347204
1.01		-0.00345266
1.02		-0.00343371
1.03		-0.00341519
1.04		-0.00339709
1.05		-0.0033794
1.06		-0.00336211
1.07		-0.00334522
1.08		-0.00332872
1.09		-0.0033126
1.1		-0.00329685
1.11		-0.00328147
1.12		-0.00326645
1.13		-0.00325178
1.14		-0.00323746
1.15		-0.00322348
1.16		-0.00320983
1.17		-0.00319652
1.18		-0.00318353
1.19		-0.00317086
1.2		-0.00315851
1.21		-0.00314646
1.22		-0.00313472
1.23		-0.00312328
1.24		-0.00311214
1.25		-0.00310128
1.26		-0.00309072
1.27		-0.00308044
1.28		-0.00307043
1.29		-0.00306071
1.3		-0.00305125
1.31		-0.00304207
1.32		-0.00303315
1.33		-0.00302449
1.34		-0.00301608
1.35		-0.00300794
1.36		-0.00300004
1.37		-0.0029924
1.38		-0.002985
1.39		-0.00297784
1.4		-0.00297092
1.41		-0.00296425
1.42		-0.0029578
1.43		-0.00295159
1.44		-0.00294561
1.45		-0.00293986
1.46		-0.00293433
1.47		-0.00292903
1.48		-0.00292394
1.49		-0.00291908
1.5		-0.00291443
1.51		-0.00290999
1.52		-0.00290577
1.53		-0.00290176
1.54		-0.00289795
1.55		-0.00289436
1.56		-0.00289096
1.57		-0.00288778
1.58		-0.00288479
1.59		-0.002882
1.6		-0.00287941
1.61		-0.00287701
1.62		-0.00287481
1.63		-0.00287281
1.64		-0.00287099
1.65		-0.00286937
1.66		-0.00286793
1.67		-0.00286668
1.68		-0.00286562
1.69		-0.00286474
1.7		-0.00286404
1.71		-0.00286353
1.72		-0.0028632
1.73		-0.00286304
1.74		-0.00286307
1.75		-0.00286327
1.76		-0.00286365
1.77		-0.0028642
1.78		-0.00286492
1.79		-0.00286582
1.8		-0.00286689
1.81		-0.00286812
1.82		-0.00286953
1.83		-0.00287111
1.84		-0.00287285
1.85		-0.00287476
1.86		-0.00287683
1.87		-0.00287907
1.88		-0.00288147
1.89		-0.00288403
1.9		-0.00288676
1.91		-0.00288964
1.92		-0.00289269
1.93		-0.00289589
1.94		-0.00289925
1.95		-0.00290277
1.96		-0.00290644
1.97		-0.00291027
1.98		-0.00291426
1.99		-0.0029184
2		-0.00292269
2.01		-0.00292713
2.02		-0.00293172
2.03		-0.00293647
2.04		-0.00294137
2.05		-0.00294641
2.06		-0.0029516
2.07		-0.00295695
2.08		-0.00296243
2.09		-0.00296807
2.1		-0.00297385
2.11		-0.00297978
2.12		-0.00298585
2.13		-0.00299206
2.14		-0.00299842
2.15		-0.00300492
2.16		-0.00301156
2.17		-0.00301834
2.18		-0.00302527
2.19		-0.00303233
2.2		-0.00303954
2.21		-0.00304688
2.22		-0.00305436
2.23		-0.00306198
2.24		-0.00306974
2.25		-0.00307763
2.26		-0.00308566
2.27		-0.00309382
2.28		-0.00310212
2.29		-0.00311056
2.3		-0.00311913
2.31		-0.00312783
2.32		-0.00313666
2.33		-0.00314563
2.34		-0.00315473
2.35		-0.00316396
2.36		-0.00317332
2.37		-0.00318281
2.38		-0.00319243
2.39		-0.00320218
2.4		-0.00321206
2.41		-0.00322207
2.42		-0.0032322
2.43		-0.00324246
2.44		-0.00325285
2.45		-0.00326337
2.46		-0.00327401
2.47		-0.00328478
2.48		-0.00329567
2.49		-0.00330669
2.5		-0.00331783
2.51		-0.0033291
2.52		-0.00334049
2.53		-0.003352
2.54		-0.00336363
2.55		-0.00337539
2.56		-0.00338726
2.57		-0.00339926
2.58		-0.00341138
2.59		-0.00342362
2.6		-0.00343598
2.61		-0.00344846
2.62		-0.00346105
2.63		-0.00347377
2.64		-0.0034866
2.65		-0.00349956
2.66		-0.00351263
2.67		-0.00352581
2.68		-0.00353911
2.69		-0.00355253
2.7		-0.00356607
2.71		-0.00357972
2.72		-0.00359348
2.73		-0.00360736
2.74		-0.00362135
2.75		-0.00363546
2.76		-0.00364968
2.77		-0.00366401
2.78		-0.00367846
2.79		-0.00369302
2.8		-0.00370769
2.81		-0.00372247
2.82		-0.00373736
2.83		-0.00375237
2.84		-0.00376748
2.85		-0.0037827
2.86		-0.00379804
2.87		-0.00381348
2.88		-0.00382903
2.89		-0.00384469
2.9		-0.00386046
2.91		-0.00387634
2.92		-0.00389232
2.93		-0.00390841
2.94		-0.00392461
2.95		-0.00394091
2.96		-0.00395732
2.97		-0.00397383
2.98		-0.00399046
2.99		-0.00400718
3		-0.00402401
3.01		-0.00404094
3.02		-0.00405798
3.03		-0.00407512
3.04		-0.00409237
3.05		-0.00410972
3.06		-0.00412717
3.07		-0.00414472
3.08		-0.00416237
3.09		-0.00418013
3.1		-0.00419799
3.11		-0.00421594
3.12		-0.004234
3.13		-0.00425216
3.14		-0.00427042
3.15		-0.00428878
3.16		-0.00430724
3.17		-0.00432579
3.18		-0.00434445
3.19		-0.0043632
3.2		-0.00438205
3.21		-0.004401
3.22		-0.00442004
3.23		-0.00443918
3.24		-0.00445842
3.25		-0.00447776
3.26		-0.00449719
3.27		-0.00451672
3.28		-0.00453634
3.29		-0.00455605
3.3		-0.00457587
3.31		-0.00459577
3.32		-0.00461577
3.33		-0.00463587
3.34		-0.00465605
3.35		-0.00467633
3.36		-0.00469671
3.37		-0.00471717
3.38		-0.00473773
3.39		-0.00475838
3.4		-0.00477912
3.41		-0.00479995
3.42		-0.00482088
3.43		-0.00484189
3.44		-0.00486299
3.45		-0.00488419
3.46		-0.00490547
3.47		-0.00492685
3.48		-0.00494831
3.49		-0.00496986
3.5		-0.0049915
3.51		-0.00501323
3.52		-0.00503504
3.53		-0.00505695
3.54		-0.00507894
3.55		-0.00510102
3.56		-0.00512318
3.57		-0.00514543
3.58		-0.00516777
3.59		-0.00519019
3.6		-0.0052127
3.61		-0.0052353
3.62		-0.00525798
3.63		-0.00528074
3.64		-0.00530359
3.65		-0.00532652
3.66		-0.00534954
3.67		-0.00537264
3.68		-0.00539582
3.69		-0.00541909
3.7		-0.00544244
3.71		-0.00546587
3.72		-0.00548938
3.73		-0.00551298
3.74		-0.00553665
3.75		-0.00556041
3.76		-0.00558425
3.77		-0.00560817
3.78		-0.00563217
3.79		-0.00565625
3.8		-0.00568041
3.81		-0.00570465
3.82		-0.00572897
3.83		-0.00575337
3.84		-0.00577785
3.85		-0.0058024
3.86		-0.00582704
3.87		-0.00585175
3.88		-0.00587654
3.89		-0.00590141
3.9		-0.00592635
3.91		-0.00595137
3.92		-0.00597647
3.93		-0.00600164
3.94		-0.00602689
3.95		-0.00605222
3.96		-0.00607762
3.97		-0.0061031
3.98		-0.00612865
3.99		-0.00615428
4		-0.00617998
4.01		-0.00620575
4.02		-0.0062316
4.03		-0.00625752
4.04		-0.00628352
4.05		-0.00630959
4.06		-0.00633573
4.07		-0.00636195
4.08		-0.00638824
4.09		-0.00641459
4.1		-0.00644103
4.11		-0.00646753
4.12		-0.0064941
4.13		-0.00652075
4.14		-0.00654747
4.15		-0.00657425
4.16		-0.00660111
4.17		-0.00662804
4.18		-0.00665503
4.19		-0.0066821
4.2		-0.00670924
4.21		-0.00673644
4.22		-0.00676372
4.23		-0.00679106
4.24		-0.00681847
4.25		-0.00684595
4.26		-0.0068735
4.27		-0.00690111
4.28		-0.00692879
4.29		-0.00695654
4.3		-0.00698436
4.31		-0.00701224
4.32		-0.00704019
4.33		-0.0070682
4.34		-0.00709628
4.35		-0.00712443
4.36		-0.00715264
4.37		-0.00718092
4.38		-0.00720926
4.39		-0.00723766
4.4		-0.00726613
4.41		-0.00729467
4.42		-0.00732327
4.43		-0.00735193
4.44		-0.00738066
4.45		-0.00740944
4.46		-0.0074383
4.47		-0.00746721
4.48		-0.00749619
4.49		-0.00752523
4.5		-0.00755433
4.51		-0.00758349
4.52		-0.00761272
4.53		-0.007642
4.54		-0.00767135
4.55		-0.00770076
4.56		-0.00773023
4.57		-0.00775976
4.58		-0.00778935
4.59		-0.00781899
4.6		-0.0078487
4.61		-0.00787847
4.62		-0.0079083
4.63		-0.00793819
4.64		-0.00796813
4.65		-0.00799813
4.66		-0.0080282
4.67		-0.00805832
4.68		-0.0080885
4.69		-0.00811873
4.7		-0.00814903
4.71		-0.00817938
4.72		-0.00820978
4.73		-0.00824025
4.74		-0.00827077
4.75		-0.00830135
4.76		-0.00833198
4.77		-0.00836267
4.78		-0.00839341
4.79		-0.00842421
4.8		-0.00845507
4.81		-0.00848598
4.82		-0.00851695
4.83		-0.00854797
4.84		-0.00857904
4.85		-0.00861017
4.86		-0.00864135
4.87		-0.00867259
4.88		-0.00870388
4.89		-0.00873522
4.9		-0.00876662
4.91		-0.00879806
4.92		-0.00882957
4.93		-0.00886112
4.94		-0.00889273
4.95		-0.00892438
4.96		-0.00895609
4.97		-0.00898786
4.98		-0.00901967
4.99		-0.00905153
5		-0.00908345
5.01		-0.00911541
5.02		-0.00914743
5.03		-0.0091795
5.04		-0.00921161
5.05		-0.00924378
5.06		-0.009276
5.07		-0.00930826
5.08		-0.00934058
5.09		-0.00937294
5.1		-0.00940536
5.11		-0.00943782
5.12		-0.00947033
5.13		-0.00950289
5.14		-0.00953549
5.15		-0.00956815
5.16		-0.00960085
5.17		-0.0096336
5.18		-0.0096664
5.19		-0.00969924
5.2		-0.00973213
5.21		-0.00976507
5.22		-0.00979806
5.23		-0.00983109
5.24		-0.00986416
5.25		-0.00989729
5.26		-0.00993046
5.27		-0.00996367
5.28		-0.00999693
5.29		-0.0100302
5.3		-0.0100636
5.31		-0.010097
5.32		-0.0101304
5.33		-0.0101639
5.34		-0.0101974
5.35		-0.010231
5.36		-0.0102646
5.37		-0.0102983
5.38		-0.010332
5.39		-0.0103657
5.4		-0.0103995
5.41		-0.0104333
5.42		-0.0104672
5.43		-0.0105011
5.44		-0.0105351
5.45		-0.0105691
5.46		-0.0106031
5.47		-0.0106372
5.48		-0.0106713
5.49		-0.0107055
5.5		-0.0107397
5.51		-0.010774
5.52		-0.0108083
5.53		-0.0108426
5.54		-0.010877
5.55		-0.0109114
5.56		-0.0109458
5.57		-0.0109803
5.58		-0.0110148
5.59		-0.0110494
5.6		-0.011084
5.61		-0.0111187
5.62		-0.0111534
5.63		-0.0111881
5.64		-0.0112229
5.65		-0.0112577
5.66		-0.0112925
5.67		-0.0113274
5.68		-0.0113623
5.69		-0.0113973
5.7		-0.0114323
5.71		-0.0114673
5.72		-0.0115024
5.73		-0.0115375
5.74		-0.0115726
5.75		-0.0116078
5.76		-0.011643
5.77		-0.0116782
5.78		-0.0117135
5.79		-0.0117489
5.8		-0.0117842
5.81		-0.0118196
5.82		-0.011855
5.83		-0.0118905
5.84		-0.011926
5.85		-0.0119616
5.86		-0.0119971
5.87		-0.0120327
5.88		-0.0120684
5.89		-0.012104
5.9		-0.0121398
5.91		-0.0121755
5.92		-0.0122113
5.93		-0.0122471
5.94		-0.0122829
5.95		-0.0123188
5.96		-0.0123547
5.97		-0.0123907
5.98		-0.0124266
5.99		-0.0124626
6		-0.0124987
6.01		-0.0125348
6.02		-0.0125709
6.03		-0.012607
6.04		-0.0126432
6.05		-0.0126794
6.06		-0.0127156
6.07		-0.0127519
6.08		-0.0127882
6.09		-0.0128245
6.1		-0.0128609
6.11		-0.0128972
6.12		-0.0129337
6.13		-0.0129701
6.14		-0.0130066
6.15		-0.0130431
6.16		-0.0130796
6.17		-0.0131162
6.18		-0.0131528
6.19		-0.0131894
6.2		-0.0132261
6.21		-0.0132628
6.22		-0.0132995
6.23		-0.0133363
6.24		-0.013373
6.25		-0.0134098
6.26		-0.0134467
6.27		-0.0134835
6.28		-0.0135204
6.29		-0.0135573
6.3		-0.0135943
6.31		-0.0136312
6.32		-0.0136682
6.33		-0.0137053
6.34		-0.0137423
6.35		-0.0137794
6.36		-0.0138165
6.37		-0.0138536
6.38		-0.0138908
6.39		-0.013928
6.4		-0.0139652
6.41		-0.0140024
6.42		-0.0140397
6.43		-0.014077
6.44		-0.0141143
6.45		-0.0141517
6.46		-0.014189
6.47		-0.0142264
6.48		-0.0142638
6.49		-0.0143013
6.5		-0.0143388
6.51		-0.0143762
6.52		-0.0144138
6.53		-0.0144513
6.54		-0.0144889
6.55		-0.0145265
6.56		-0.0145641
6.57		-0.0146017
6.58		-0.0146394
6.59		-0.0146771
6.6		-0.0147148
6.61		-0.0147525
6.62		-0.0147903
6.63		-0.0148281
6.64		-0.0148659
6.65		-0.0149037
6.66		-0.0149415
6.67		-0.0149794
6.68		-0.0150173
6.69		-0.0150552
6.7		-0.0150932
6.71		-0.0151311
6.72		-0.0151691
6.73		-0.0152071
6.74		-0.0152451
6.75		-0.0152832
6.76		-0.0153212
6.77		-0.0153593
6.78		-0.0153974
6.79		-0.0154356
6.8		-0.0154737
6.81		-0.0155119
6.82		-0.0155501
6.83		-0.0155883
6.84		-0.0156265
6.85		-0.0156648
6.86		-0.0157031
6.87		-0.0157414
6.88		-0.0157797
6.89		-0.015818
6.9		-0.0158564
6.91		-0.0158947
6.92		-0.0159331
6.93		-0.0159715
6.94		-0.01601
6.95		-0.0160484
6.96		-0.0160869
6.97		-0.0161254
6.98		-0.0161639
6.99		-0.0162024
7		-0.0162409
7.01		-0.0162795
7.02		-0.0163181
7.03		-0.0163567
7.04		-0.0163953
7.05		-0.0164339
7.06		-0.0164725
7.07		-0.0165112
7.08		-0.0165499
7.09		-0.0165886
7.1		-0.0166273
7.11		-0.016666
7.12		-0.0167048
7.13		-0.0167436
7.14		-0.0167823
7.15		-0.0168211
7.16		-0.01686
7.17		-0.0168988
7.18		-0.0169376
7.19		-0.0169765
7.2		-0.0170154
7.21		-0.0170543
7.22		-0.0170932
7.23		-0.0171321
7.24		-0.0171711
7.25		-0.01721
7.26		-0.017249
7.27		-0.017288
7.28		-0.017327
7.29		-0.017366
7.3		-0.017405
7.31		-0.0174441
7.32		-0.0174831
7.33		-0.0175222
7.34		-0.0175613
7.35		-0.0176004
7.36		-0.0176395
7.37		-0.0176787
7.38		-0.0177178
7.39		-0.017757
7.4		-0.0177961
7.41		-0.0178353
7.42		-0.0178745
7.43		-0.0179137
7.44		-0.017953
7.45		-0.0179922
7.46		-0.0180314
7.47		-0.0180707
7.48		-0.01811
7.49		-0.0181493
7.5		-0.0181886
7.51		-0.0182279
7.52		-0.0182672
7.53		-0.0183065
7.54		-0.0183459
7.55		-0.0183853
7.56		-0.0184246
7.57		-0.018464
7.58		-0.0185034
7.59		-0.0185428
7.6		-0.0185822
7.61		-0.0186217
7.62		-0.0186611
7.63		-0.0187006
7.64		-0.01874
7.65		-0.0187795
7.66		-0.018819
7.67		-0.0188585
7.68		-0.018898
7.69		-0.0189375
7.7		-0.018977
7.71		-0.0190166
7.72		-0.0190561
7.73		-0.0190957
7.74		-0.0191353
7.75		-0.0191748
7.76		-0.0192144
7.77		-0.019254
7.78		-0.0192936
7.79		-0.0193333
7.8		-0.0193729
7.81		-0.0194125
7.82		-0.0194522
7.83		-0.0194918
7.84		-0.0195315
7.85		-0.0195711
7.86		-0.0196108
7.87		-0.0196505
7.88		-0.0196902
7.89		-0.0197299
7.9		-0.0197696
7.91		-0.0198094
7.92		-0.0198491
7.93		-0.0198888
7.94		-0.0199286
7.95		-0.0199683
7.96		-0.0200081
7.97		-0.0200479
7.98		-0.0200876
7.99		-0.0201274
8		-0.0201672
8.01		-0.020207
8.02		-0.0202468
8.03		-0.0202866
8.04		-0.0203265
8.05		-0.0203663
8.06		-0.0204061
8.07		-0.020446
8.08		-0.0204858
8.09		-0.0205257
8.1		-0.0205655
8.11		-0.0206054
8.12		-0.0206453
8.13		-0.0206852
8.14		-0.020725
8.15		-0.0207649
8.16		-0.0208048
8.17		-0.0208447
8.18		-0.0208847
8.19		-0.0209246
8.2		-0.0209645
8.21		-0.0210044
8.22		-0.0210444
8.23		-0.0210843
8.24		-0.0211242
8.25		-0.0211642
8.26		-0.0212041
8.27		-0.0212441
8.28		-0.0212841
8.29		-0.021324
8.3		-0.021364
8.31		-0.021404
8.32		-0.021444
8.33		-0.021484
8.34		-0.021524
8.35		-0.0215639
8.36		-0.021604
