tau [fm]		R_PiNS^-1
0.25		-0.0653887
0.255		-0.0675405
0.26		-0.0697324
0.265		-0.0719623
0.27		-0.0742282
0.275		-0.0765281
0.28		-0.0788601
0.285		-0.0812225
0.29		-0.0836134
0.295		-0.0860313
0.3		-0.0884746
0.305		-0.0909417
0.31		-0.0934311
0.315		-0.0959415
0.32		-0.0984715
0.325		-0.10102
0.33		-0.103585
0.335		-0.106167
0.34		-0.108763
0.345		-0.111374
0.35		-0.113997
0.355		-0.116631
0.36		-0.119277
0.365		-0.121933
0.37		-0.124598
0.375		-0.127271
0.38		-0.129952
0.385		-0.13264
0.39		-0.135335
0.395		-0.138035
0.4		-0.140739
0.405		-0.143448
0.41		-0.146161
0.415		-0.148877
0.42		-0.151596
0.425		-0.154317
0.43		-0.15704
0.435		-0.159764
0.44		-0.162489
0.445		-0.165214
0.45		-0.167939
0.455		-0.170664
0.46		-0.173388
0.465		-0.176112
0.47		-0.178833
0.475		-0.181554
0.48		-0.184272
0.485		-0.186988
0.49		-0.189701
0.495		-0.192412
0.5		-0.195119
0.505		-0.197823
0.51		-0.200524
0.515		-0.203221
0.52		-0.205914
0.525		-0.208603
0.53		-0.211287
0.535		-0.213967
0.54		-0.216642
0.545		-0.219313
0.55		-0.221978
0.555		-0.224639
0.56		-0.227294
0.565		-0.229943
0.57		-0.232587
0.575		-0.235226
0.58		-0.237858
0.585		-0.240485
0.59		-0.243105
0.595		-0.24572
0.6		-0.248328
0.605		-0.25093
0.61		-0.253525
0.615		-0.256114
0.62		-0.258696
0.625		-0.261272
0.63		-0.263841
0.635		-0.266403
0.64		-0.268959
0.645		-0.271507
0.65		-0.274049
0.655		-0.276583
0.66		-0.279111
0.665		-0.281631
0.67		-0.284144
0.675		-0.28665
0.68		-0.289149
0.685		-0.29164
0.69		-0.294124
0.695		-0.296601
0.7		-0.29907
0.705		-0.301532
0.71		-0.303987
0.715		-0.306434
0.72		-0.308874
0.725		-0.311306
0.73		-0.31373
0.735		-0.316148
0.74		-0.318557
0.745		-0.320959
0.75		-0.323354
0.755		-0.325741
0.76		-0.32812
0.765		-0.330492
0.77		-0.332857
0.775		-0.335214
0.78		-0.337563
0.785		-0.339905
0.79		-0.342239
0.795		-0.344566
0.8		-0.346885
0.805		-0.349197
0.81		-0.351501
0.815		-0.353798
0.82		-0.356087
0.825		-0.358369
0.83		-0.360644
0.835		-0.362911
0.84		-0.365171
0.845		-0.367423
