tau [fm]		R_piNS^-1
0.25		4.13918
0.26		3.98055
0.27		3.83373
0.28		3.69743
0.29		3.57056
0.3		3.45218
0.31		3.34147
0.32		3.2377
0.33		3.14025
0.34		3.04854
0.35		2.96209
0.36		2.88046
0.37		2.80326
0.38		2.73013
0.39		2.66076
0.4		2.59487
0.41		2.5322
0.42		2.47253
0.43		2.41563
0.44		2.36134
0.45		2.30946
0.46		2.25984
0.47		2.21233
0.48		2.16681
0.49		2.12316
0.5		2.08125
0.51		2.04099
0.52		2.00228
0.53		1.96503
0.54		1.92916
0.55		1.89461
0.56		1.86128
0.57		1.82913
0.58		1.79809
0.59		1.7681
0.6		1.73912
0.61		1.71108
0.62		1.68395
0.63		1.65768
0.64		1.63224
0.65		1.60757
0.66		1.58366
0.67		1.56046
0.68		1.53794
0.69		1.51608
0.7		1.49484
0.71		1.4742
0.72		1.45413
0.73		1.43461
0.74		1.41562
0.75		1.39714
0.76		1.37914
0.77		1.36161
0.78		1.34453
0.79		1.32788
0.8		1.31165
0.81		1.29582
0.82		1.28038
0.83		1.2653
0.84		1.25059
0.85		1.23622
0.86		1.22219
0.87		1.20847
0.88		1.19507
0.89		1.18197
0.9		1.16917
0.91		1.15664
0.92		1.14438
0.93		1.13239
0.94		1.12065
0.95		1.10916
0.96		1.09791
0.97		1.08689
0.98		1.0761
0.99		1.06552
1		1.05515
1.01		1.04499
1.02		1.03503
1.03		1.02526
1.04		1.01568
1.05		1.00628
1.06		0.997058
1.07		0.988008
1.08		0.979125
1.09		0.970404
1.1		0.961842
1.11		0.953434
1.12		0.945175
1.13		0.937062
1.14		0.929092
1.15		0.921259
1.16		0.913561
1.17		0.905995
1.18		0.898556
1.19		0.891242
1.2		0.88405
1.21		0.876976
1.22		0.870018
1.23		0.863173
1.24		0.856437
1.25		0.84981
1.26		0.843287
1.27		0.836866
1.28		0.830545
1.29		0.824322
1.3		0.818195
1.31		0.812161
1.32		0.806217
1.33		0.800363
1.34		0.794596
1.35		0.788914
1.36		0.783316
1.37		0.777798
1.38		0.772361
1.39		0.767001
1.4		0.761718
1.41		0.756509
1.42		0.751373
1.43		0.746309
1.44		0.741315
1.45		0.736389
1.46		0.731531
1.47		0.726738
1.48		0.72201
1.49		0.717345
1.5		0.712742
1.51		0.7082
1.52		0.703717
1.53		0.699292
1.54		0.694925
1.55		0.690614
1.56		0.686358
1.57		0.682155
1.58		0.678006
1.59		0.673908
1.6		0.669862
1.61		0.665865
1.62		0.661918
1.63		0.658019
1.64		0.654167
1.65		0.650361
1.66		0.646602
1.67		0.642887
1.68		0.639215
1.69		0.635588
1.7		0.632002
1.71		0.628458
1.72		0.624956
1.73		0.621493
1.74		0.61807
1.75		0.614686
1.76		0.61134
1.77		0.608032
1.78		0.604761
1.79		0.601526
1.8		0.598326
1.81		0.595162
1.82		0.592033
1.83		0.588937
1.84		0.585875
1.85		0.582846
1.86		0.579849
1.87		0.576884
1.88		0.57395
1.89		0.571047
1.9		0.568175
1.91		0.565332
1.92		0.562519
1.93		0.559734
1.94		0.556979
1.95		0.554251
1.96		0.551551
1.97		0.548878
1.98		0.546232
1.99		0.543613
2		0.541019
2.01		0.538451
2.02		0.535908
2.03		0.53339
2.04		0.530897
2.05		0.528428
2.06		0.525982
2.07		0.523561
2.08		0.521162
2.09		0.518786
2.1		0.516432
2.11		0.514101
2.12		0.511791
2.13		0.509503
2.14		0.507236
2.15		0.50499
2.16		0.502765
2.17		0.50056
2.18		0.498375
2.19		0.49621
2.2		0.494064
2.21		0.491938
2.22		0.489831
2.23		0.487742
2.24		0.485672
2.25		0.48362
2.26		0.481587
2.27		0.479571
2.28		0.477572
2.29		0.475591
2.3		0.473627
2.31		0.47168
2.32		0.469749
2.33		0.467835
2.34		0.465937
2.35		0.464055
2.36		0.462189
2.37		0.460339
2.38		0.458504
2.39		0.456684
2.4		0.454879
2.41		0.453089
2.42		0.451314
2.43		0.449553
2.44		0.447806
2.45		0.446074
2.46		0.444356
2.47		0.442651
2.48		0.44096
2.49		0.439283
2.5		0.437618
2.51		0.435967
2.52		0.434329
2.53		0.432704
2.54		0.431091
2.55		0.429491
2.56		0.427904
2.57		0.426328
2.58		0.424765
2.59		0.423214
2.6		0.421674
2.61		0.420146
2.62		0.41863
2.63		0.417125
2.64		0.415632
2.65		0.414149
2.66		0.412678
2.67		0.411217
2.68		0.409768
2.69		0.408329
2.7		0.4069
2.71		0.405482
2.72		0.404075
2.73		0.402677
2.74		0.40129
2.75		0.399912
2.76		0.398545
2.77		0.397187
2.78		0.395839
2.79		0.394501
2.8		0.393172
2.81		0.391852
2.82		0.390542
