T [fm^-1]		beta_pi
0.1		2.57472126931657e-07
0.1008		2.79900427394303e-07
0.1016		3.03844743060115e-07
0.1024		3.29376686670861e-07
0.1032		3.56569672387031e-07
0.104		3.85498912767619e-07
0.1048		4.1624141548242e-07
0.1056		4.48875979805162e-07
0.1064		4.83483192920068e-07
0.1072		5.201454260969e-07
0.108		5.58946830772694e-07
0.1088		5.99973334553628e-07
0.1096		6.43312637212633e-07
0.1104		6.89054206668017e-07
0.1112		7.37289274999499e-07
0.112		7.88110834517637e-07
0.1128		8.41613633915964e-07
0.1136		8.97894174506911e-07
0.1144		9.57050706592929e-07
0.1152		1.01918322595814e-06
0.116		1.0843934705129e-06
0.1168		1.15278491710119e-06
0.1176		1.22446277848103e-06
0.1184		1.29953400047786e-06
0.1192		1.37810725934851e-06
0.12		1.46029295932567e-06
0.1208		1.54620323037393e-06
0.1216		1.63595192614953e-06
0.1224		1.72965462218582e-06
0.1232		1.82742861427169e-06
0.124		1.92939291706645e-06
0.1248		2.03566826292116e-06
0.1256		2.14637710091932e-06
0.1264		2.26164359613661e-06
0.1272		2.38159362911439e-06
0.128		2.50635479554647e-06
0.1288		2.63605640618166e-06
0.1296		2.77082948693105e-06
0.1304		2.91080677918094e-06
0.1312		3.0561227403124e-06
0.132		3.20691354441937e-06
0.1328		3.3633170832157e-06
0.1336		3.52547296714177e-06
0.1344		3.6935225266525e-06
0.1352		3.86760881368317e-06
0.136		4.04787660330882e-06
0.1368		4.23447239555502e-06
0.1376		4.42754441739192e-06
0.1384		4.62724262488855e-06
0.1392		4.83371870552085e-06
0.14		5.04712608063841e-06
0.1408		5.26761990807473e-06
0.1416		5.4953570849153e-06
0.1424		5.73049625038079e-06
0.1432		5.97319778887204e-06
0.144		6.22362383312531e-06
0.1448		6.48193826750287e-06
0.1456		6.74830673140071e-06
0.1464		7.0228966227833e-06
0.1472		7.30587710181274e-06
0.148		7.5974190946082e-06
0.1488		7.89769529709112e-06
0.1496		8.20688017894344e-06
0.1504		8.52514998766453e-06
0.1512		8.85268275271075e-06
0.152		9.18965828973652e-06
0.1528		9.53625820491839e-06
0.1536		9.89266589935845e-06
0.1544		1.02590665735809e-05
0.1552		1.06356472320937e-05
0.156		1.10225966880292e-05
0.1568		1.1420105567871e-05
0.1576		1.1828366316218e-05
0.1584		1.2247573200661e-05
0.1592		1.2677922316683e-05
0.16		1.31196115926498e-05
0.1608		1.35728407948477e-05
0.1616		1.40378115325954e-05
0.1624		1.4514727263394e-05
0.1632		1.50037932981485e-05
0.164		1.55052168064396e-05
0.1648		1.6019206821844e-05
0.1656		1.65459742473242e-05
0.1664		1.70857318606324e-05
0.1672		1.76386943198049e-05
0.168		1.82050781686914e-05
0.1688		1.87851018425122e-05
0.1696		1.93789856734865e-05
0.1704		1.99869518965036e-05
0.1712		2.06092246548352e-05
0.172		2.1246030005884e-05
0.1728		2.18975959270021e-05
0.1736		2.25641523213183e-05
0.1744		2.32459310236615e-05
0.1752		2.39431658064607e-05
0.176		2.46560923857554e-05
0.1768		2.53849484272047e-05
0.1776		2.61299735521665e-05
0.1784		2.68914093437873e-05
0.1792		2.76694993531999e-05
0.18		2.84644891057063e-05
0.1808		2.9276626107007e-05
0.1816		3.01061598495289e-05
0.1824		3.09533418187466e-05
0.1832		3.18184254995704e-05
0.184		3.27016663827887e-05
0.1848		3.36033219715419e-05
0.1856		3.45236517878551e-05
0.1864		3.54629173792239e-05
0.1872		3.64213823252289e-05
