tau [fm]		R_piNS^-1
0.25		4.13918
0.35		2.96209
0.45		2.30945
0.55		1.89461
0.65		1.60757
0.75		1.39714
0.85		1.23622
0.95		1.10916
1.05		1.00628
1.15		0.921259
1.25		0.849809
1.35		0.788914
1.45		0.736389
1.55		0.690613
1.65		0.650361
1.75		0.614685
1.85		0.582845
1.95		0.55425
2.05		0.528427
2.15		0.50499
2.25		0.48362
2.35		0.464055
2.45		0.446074
2.55		0.429491
2.65		0.414149
2.75		0.399912
2.85		0.386665
2.95		0.374307
3.05		0.362752
3.15		0.351922
3.25		0.341752
3.35		0.332182
3.45		0.323161
3.55		0.314643
3.65		0.306586
3.75		0.298953
3.85		0.291712
3.95		0.284833
4.05		0.27829
4.15		0.272057
4.25		0.266114
4.35		0.260441
4.45		0.255019
4.55		0.249832
4.65		0.244865
4.75		0.240104
4.85		0.235536
4.95		0.23115
5.05		0.226935
5.15		0.222881
5.25		0.218979
5.35		0.21522
5.45		0.211597
5.55		0.208102
5.65		0.204728
5.75		0.201469
5.85		0.19832
5.95		0.195275
6.05		0.192328
6.15		0.189475
6.25		0.186712
6.35		0.184033
6.45		0.181436
6.55		0.178916
6.65		0.17647
6.75		0.174095
6.85		0.171788
6.95		0.169545
7.05		0.167365
7.15		0.165243
7.25		0.163179
7.35		0.161169
7.45		0.159212
7.55		0.157305
7.65		0.155446
7.75		0.153634
7.85		0.151866
7.95		0.150142
8.05		0.148459
8.15		0.146816
8.25		0.145211
8.35		0.143644
8.45		0.142112
8.55		0.140615
8.65		0.139151
8.75		0.137719
8.85		0.136318
8.95		0.134947
9.05		0.133606
9.15		0.132292
9.25		0.131006
9.35		0.129746
9.45		0.128511
9.55		0.127301
9.65		0.126115
9.75		0.124953
9.85		0.123812
9.95		0.122694
10.05		0.121597
10.15		0.12052
10.25		0.119463
10.35		0.118425
10.45		0.117407
10.55		0.116406
10.65		0.115424
10.75		0.114458
10.85		0.11351
10.95		0.112578
11.05		0.111661
11.15		0.11076
11.25		0.109875
11.35		0.109003
11.45		0.108147
11.55		0.107304
11.65		0.106474
11.75		0.105658
11.85		0.104855
11.95		0.104064
12.05		0.103286
12.15		0.102519
12.25		0.101764
12.35		0.101021
12.45		0.100289
12.55		0.0995672
12.65		0.0988563
12.75		0.0981558
12.85		0.0974655
12.95		0.096785
13.05		0.0961142
13.15		0.0954528
13.25		0.0948006
13.35		0.0941575
13.45		0.0935233
13.55		0.0928976
13.65		0.0922805
13.75		0.0916716
13.85		0.0910708
13.95		0.0904779
14.05		0.0898928
14.15		0.0893153
14.25		0.0887453
14.35		0.0881825
14.45		0.0876269
14.55		0.0870783
14.65		0.0865366
14.75		0.0860016
14.85		0.0854732
14.95		0.0849513
15.05		0.0844357
15.15		0.0839263
15.25		0.083423
15.35		0.0829257
15.45		0.0824343
15.55		0.0819487
15.65		0.0814687
15.75		0.0809942
15.85		0.0805252
15.95		0.0800616
16.05		0.0796032
16.15		0.0791499
16.25		0.0787018
16.35		0.0782586
16.45		0.0778203
16.55		0.0773868
16.65		0.076958
16.75		0.0765339
16.85		0.0761143
16.95		0.0756992
17.05		0.0752885
17.15		0.0748822
17.25		0.0744801
17.35		0.0740822
17.45		0.0736884
17.55		0.0732986
17.65		0.0729129
17.75		0.072531
17.85		0.0721531
17.95		0.0717789
18.05		0.0714084
18.15		0.0710417
18.25		0.0706785
18.35		0.0703189
18.45		0.0699628
18.55		0.0696102
18.65		0.0692609
18.75		0.068915
18.85		0.0685724
18.95		0.0682331
19.05		0.0678969
19.15		0.0675639
19.25		0.0672339
19.35		0.0669071
19.45		0.0665832
19.55		0.0662623
19.65		0.0659443
19.75		0.0656292
19.85		0.065317
19.95		0.0650075
20.05		0.0647008
20.15		0.0643968
20.25		0.0640955
20.35		0.0637968
20.45		0.0635007
20.55		0.0632072
20.65		0.0629162
20.75		0.0626277
20.85		0.0623417
20.95		0.0620581
21.05		0.0617769
21.15		0.0614981
21.25		0.0612215
21.35		0.0609473
21.45		0.0606754
21.55		0.0604056
21.65		0.0601381
21.75		0.0598728
21.85		0.0596096
21.95		0.0593485
22.05		0.0590895
22.15		0.0588326
22.25		0.0585777
22.35		0.0583249
22.45		0.058074
22.55		0.0578251
22.65		0.0575781
22.75		0.057333
22.85		0.0570898
22.95		0.0568485
23.05		0.056609
23.15		0.0563714
23.25		0.0561355
23.35		0.0559014
23.45		0.055669
23.55		0.0554384
23.65		0.0552095
23.75		0.0549822
23.85		0.0547567
23.95		0.0545328
24.05		0.0543105
24.15		0.0540898
24.25		0.0538707
24.35		0.0536531
24.45		0.0534372
24.55		0.0532227
24.65		0.0530098
24.75		0.0527983
24.85		0.0525884
24.95		0.0523799
