tau [fm]		R_PiNS^-1
0.25		-0.00846945
0.35		-0.00681747
0.45		-0.00577822
0.55		-0.00506039
0.65		-0.00453469
0.75		-0.00413467
0.85		-0.00382268
0.95		-0.00357579
1.05		-0.00337931
1.15		-0.00322339
1.25		-0.00310119
1.35		-0.00300784
1.45		-0.00293976
1.55		-0.00289425
1.65		-0.00286925
1.75		-0.00286314
1.85		-0.00287461
1.95		-0.00290261
2.05		-0.00294623
2.15		-0.00300472
2.25		-0.00307742
2.35		-0.00316372
2.45		-0.00326312
2.55		-0.00337511
2.65		-0.00349926
2.75		-0.00363514
2.85		-0.00378235
2.95		-0.00394053
3.05		-0.00410931
3.15		-0.00428835
3.25		-0.0044773
3.35		-0.00467584
3.45		-0.00488367
3.55		-0.00510047
3.65		-0.00532594
3.75		-0.0055598
3.85		-0.00580175
3.95		-0.00605154
4.05		-0.00630887
4.15		-0.0065735
4.25		-0.00684516
4.35		-0.00712361
4.45		-0.00740859
4.55		-0.00769987
4.65		-0.00799721
4.75		-0.00830038
4.85		-0.00860917
4.95		-0.00892335
5.05		-0.00924271
5.15		-0.00956704
5.25		-0.00989614
5.35		-0.0102298
5.45		-0.0105679
5.55		-0.0109101
5.65		-0.0112564
5.75		-0.0116064
5.85		-0.0119602
5.95		-0.0123174
6.05		-0.0126779
6.15		-0.0130416
6.25		-0.0134083
6.35		-0.0137778
6.45		-0.0141501
6.55		-0.0145248
6.65		-0.014902
6.75		-0.0152815
6.85		-0.015663
6.95		-0.0160466
7.05		-0.0164321
7.15		-0.0168193
7.25		-0.0172081
7.35		-0.0175985
7.45		-0.0179902
7.55		-0.0183833
7.65		-0.0187775
7.75		-0.0191728
7.85		-0.019569
7.95		-0.0199662
8.05		-0.0203641
8.15		-0.0207627
8.25		-0.0211619
8.35		-0.0215617
8.45		-0.0219618
8.55		-0.0223623
8.65		-0.0227631
8.75		-0.0231641
8.85		-0.0235652
8.95		-0.0239664
9.05		-0.0243675
9.15		-0.0247686
9.25		-0.0251695
9.35		-0.0255703
9.45		-0.0259708
9.55		-0.0263709
9.65		-0.0267708
9.75		-0.0271702
9.85		-0.0275691
9.95		-0.0279676
10.05		-0.0283655
10.15		-0.0287629
10.25		-0.0291596
10.35		-0.0295557
10.45		-0.0299511
10.55		-0.0303458
10.65		-0.0307397
10.75		-0.0311329
10.85		-0.0315253
10.95		-0.0319169
11.05		-0.0323077
11.15		-0.0326976
11.25		-0.0330867
11.35		-0.0334749
11.45		-0.0338622
11.55		-0.0342486
11.65		-0.0346342
11.75		-0.0350189
11.85		-0.0354026
11.95		-0.0357855
12.05		-0.0361675
12.15		-0.0365486
12.25		-0.0369288
12.35		-0.0373082
12.45		-0.0376867
12.55		-0.0380644
12.65		-0.0384412
12.75		-0.0388173
12.85		-0.0391925
12.95		-0.039567
13.05		-0.0399408
13.15		-0.0403138
13.25		-0.0406862
13.35		-0.0410579
13.45		-0.041429
13.55		-0.0417994
13.65		-0.0421694
13.75		-0.0425388
13.85		-0.0429077
13.95		-0.0432762
14.05		-0.0436444
14.15		-0.0440121
14.25		-0.0443796
14.35		-0.0447468
14.45		-0.0451138
14.55		-0.0454807
14.65		-0.0458475
14.75		-0.0462142
14.85		-0.046581
14.95		-0.0469478
15.05		-0.0473148
15.15		-0.047682
15.25		-0.0480494
15.35		-0.0484172
15.45		-0.0487854
15.55		-0.0491541
15.65		-0.0495233
15.75		-0.0498932
15.85		-0.0502637
15.95		-0.050635
16.05		-0.0510072
16.15		-0.0513802
16.25		-0.0517543
16.35		-0.0521295
16.45		-0.0525059
16.55		-0.0528835
16.65		-0.0532625
16.75		-0.0536429
16.85		-0.0540249
16.95		-0.0544085
17.05		-0.0547938
17.15		-0.0551809
17.25		-0.0555699
17.35		-0.0559609
17.45		-0.056354
17.55		-0.0567493
17.65		-0.057147
17.75		-0.057547
17.85		-0.0579495
17.95		-0.0583547
18.05		-0.0587625
18.15		-0.0591732
18.25		-0.0595869
18.35		-0.0600035
18.45		-0.0604234
18.55		-0.0608465
18.65		-0.061273
18.75		-0.0617029
18.85		-0.0621365
18.95		-0.0625739
19.05		-0.063015
19.15		-0.0634601
19.25		-0.0639093
19.35		-0.0643627
