tau [fm]		R_piNS^-1
0.25		4.13918
0.35		2.96406
0.45		2.31283
0.55		1.89879
0.65		1.61218
0.75		1.40196
0.85		1.24112
0.95		1.11406
1.05		1.01114
1.15		0.926044
1.25		0.854509
1.35		0.793521
1.45		0.740901
1.55		0.695031
1.65		0.654686
1.75		0.618921
1.85		0.586994
1.95		0.558318
2.05		0.532416
2.15		0.508905
2.25		0.487465
2.35		0.467833
2.45		0.449789
2.55		0.433147
2.65		0.417748
2.75		0.403458
2.85		0.39016
2.95		0.377754
3.05		0.366152
3.15		0.355278
3.25		0.345066
3.35		0.335456
3.45		0.326397
3.55		0.317841
3.65		0.309748
3.75		0.302081
3.85		0.294807
3.95		0.287896
4.05		0.281322
4.15		0.275059
4.25		0.269087
4.35		0.263386
4.45		0.257936
4.55		0.252722
4.65		0.247729
4.75		0.242942
4.85		0.238349
4.95		0.233938
5.05		0.229699
5.15		0.225621
5.25		0.221695
5.35		0.217913
5.45		0.214267
5.55		0.210749
5.65		0.207354
5.75		0.204073
5.85		0.200902
5.95		0.197835
6.05		0.194867
6.15		0.191993
6.25		0.189208
6.35		0.186509
6.45		0.183891
6.55		0.181351
6.65		0.178885
6.75		0.176489
6.85		0.174162
6.95		0.171899
7.05		0.169698
7.15		0.167557
7.25		0.165472
7.35		0.163443
7.45		0.161465
7.55		0.159539
7.65		0.15766
7.75		0.155828
7.85		0.154041
7.95		0.152298
8.05		0.150595
8.15		0.148933
8.25		0.147309
8.35		0.145722
8.45		0.144171
8.55		0.142654
8.65		0.141171
8.75		0.13972
8.85		0.138301
8.95		0.136911
9.05		0.13555
9.15		0.134218
9.25		0.132913
9.35		0.131634
9.45		0.130381
9.55		0.129152
9.65		0.127948
9.75		0.126767
9.85		0.125608
9.95		0.124471
10.05		0.123356
10.15		0.122261
10.25		0.121186
10.35		0.12013
10.45		0.119094
10.55		0.118075
10.65		0.117075
10.75		0.116092
10.85		0.115125
10.95		0.114176
11.05		0.113242
11.15		0.112323
11.25		0.11142
11.35		0.110532
11.45		0.109658
11.55		0.108798
11.65		0.107952
11.75		0.107118
11.85		0.106298
11.95		0.105491
12.05		0.104696
12.15		0.103913
12.25		0.103142
12.35		0.102382
12.45		0.101633
12.55		0.100896
12.65		0.100169
12.75		0.0994525
12.85		0.0987463
12.95		0.0980501
13.05		0.0973637
13.15		0.0966868
13.25		0.0960192
13.35		0.0953608
13.45		0.0947113
13.55		0.0940705
13.65		0.0934383
13.75		0.0928145
13.85		0.0921989
13.95		0.0915913
14.05		0.0909916
14.15		0.0903996
14.25		0.0898151
14.35		0.0892381
14.45		0.0886682
14.55		0.0881055
14.65		0.0875498
14.75		0.0870008
14.85		0.0864586
14.95		0.0859229
15.05		0.0853937
15.15		0.0848708
15.25		0.084354
15.35		0.0838434
15.45		0.0833387
15.55		0.0828399
15.65		0.0823468
15.75		0.0818594
15.85		0.0813775
15.95		0.080901
16.05		0.0804299
16.15		0.079964
16.25		0.0795033
16.35		0.0790477
16.45		0.078597
16.55		0.0781512
16.65		0.0777102
16.75		0.0772739
16.85		0.0768423
16.95		0.0764152
17.05		0.0759927
17.15		0.0755745
17.25		0.0751607
17.35		0.0747511
17.45		0.0743457
17.55		0.0739444
17.65		0.0735472
17.75		0.073154
17.85		0.0727647
17.95		0.0723793
18.05		0.0719977
18.15		0.0716198
18.25		0.0712456
18.35		0.0708751
18.45		0.0705081
18.55		0.0701446
18.65		0.0697845
18.75		0.0694279
18.85		0.0690746
18.95		0.0687247
19.05		0.068378
19.15		0.0680344
19.25		0.0676941
19.35		0.0673568
19.45		0.0670226
19.55		0.0666915
19.65		0.0663633
19.75		0.066038
19.85		0.0657156
19.95		0.065396
20.05		0.0650793
20.15		0.0647653
20.25		0.0644541
20.35		0.0641455
20.45		0.0638396
20.55		0.0635363
20.65		0.0632355
20.75		0.0629373
20.85		0.0626416
20.95		0.0623484
21.05		0.0620576
21.15		0.0617692
21.25		0.0614832
21.35		0.0611995
21.45		0.0609181
21.55		0.060639
21.65		0.0603621
21.75		0.0600875
21.85		0.059815
21.95		0.0595447
22.05		0.0592765
22.15		0.0590104
22.25		0.0587464
22.35		0.0584844
22.45		0.0582245
22.55		0.0579665
22.65		0.0577105
22.75		0.0574565
22.85		0.0572044
22.95		0.0569542
23.05		0.0567058
