tau [fm]		R_PiNS^-1
0.25		-0.00846945
0.35		-0.00665557
0.45		-0.00556667
0.55		-0.00483425
0.65		-0.00430567
0.75		-0.00390573
0.85		-0.00359298
0.95		-0.00334273
1.05		-0.00313939
1.15		-0.00297265
1.25		-0.00283543
1.35		-0.00272272
1.45		-0.0026309
1.55		-0.00255726
1.65		-0.00249977
1.75		-0.00245683
1.85		-0.00242722
1.95		-0.00240994
2.05		-0.0024042
2.15		-0.00240931
2.25		-0.00242473
2.35		-0.00244998
2.45		-0.00248465
2.55		-0.00252836
2.65		-0.00258079
2.75		-0.00264165
2.85		-0.00271067
2.95		-0.00278758
3.05		-0.00287216
3.15		-0.00296418
3.25		-0.00306342
3.35		-0.00316969
3.45		-0.00328279
3.55		-0.00340253
3.65		-0.00352872
3.75		-0.00366119
3.85		-0.00379976
3.95		-0.00394427
4.05		-0.00409454
4.15		-0.00425043
4.25		-0.00441176
4.35		-0.00457838
4.45		-0.00475015
4.55		-0.00492691
4.65		-0.00510852
4.75		-0.00529483
4.85		-0.00548571
4.95		-0.00568102
5.05		-0.00588062
5.15		-0.00608439
5.25		-0.00629219
5.35		-0.0065039
5.45		-0.00671939
5.55		-0.00693855
5.65		-0.00716124
5.75		-0.00738737
5.85		-0.0076168
5.95		-0.00784944
6.05		-0.00808517
6.15		-0.00832388
6.25		-0.00856548
6.35		-0.00880984
6.45		-0.00905689
6.55		-0.0093065
6.65		-0.0095586
6.75		-0.00981309
6.85		-0.0100699
6.95		-0.0103288
7.05		-0.0105899
7.15		-0.0108531
7.25		-0.0111181
7.35		-0.011385
7.45		-0.0116537
7.55		-0.0119241
7.65		-0.0121961
7.75		-0.0124697
7.85		-0.0127447
7.95		-0.0130211
8.05		-0.0132989
8.15		-0.0135779
8.25		-0.0138581
8.35		-0.0141394
8.45		-0.0144218
8.55		-0.0147051
8.65		-0.0149894
8.75		-0.0152746
8.85		-0.0155606
8.95		-0.0158474
9.05		-0.0161348
9.15		-0.0164229
9.25		-0.0167116
9.35		-0.0170008
9.45		-0.0172905
9.55		-0.0175807
9.65		-0.0178713
9.75		-0.0181622
9.85		-0.0184534
9.95		-0.0187449
10.05		-0.0190366
10.15		-0.0193285
10.25		-0.0196205
10.35		-0.0199126
10.45		-0.0202047
10.55		-0.0204969
10.65		-0.0207891
10.75		-0.0210813
10.85		-0.0213733
10.95		-0.0216653
11.05		-0.0219571
11.15		-0.0222488
11.25		-0.0225402
11.35		-0.0228314
11.45		-0.0231224
11.55		-0.0234131
11.65		-0.0237036
11.75		-0.0239937
11.85		-0.0242834
11.95		-0.0245728
12.05		-0.0248618
12.15		-0.0251504
12.25		-0.0254386
12.35		-0.0257264
12.45		-0.0260137
12.55		-0.0263006
12.65		-0.026587
12.75		-0.0268729
12.85		-0.0271583
12.95		-0.0274432
13.05		-0.0277276
13.15		-0.0280115
13.25		-0.0282949
13.35		-0.0285777
13.45		-0.02886
13.55		-0.0291417
13.65		-0.0294229
13.75		-0.0297035
13.85		-0.0299836
13.95		-0.0302631
14.05		-0.0305421
14.15		-0.0308206
14.25		-0.0310985
14.35		-0.0313759
14.45		-0.0316527
14.55		-0.031929
14.65		-0.0322048
14.75		-0.0324801
14.85		-0.0327549
14.95		-0.0330292
15.05		-0.033303
15.15		-0.0335763
15.25		-0.0338491
15.35		-0.0341216
15.45		-0.0343935
15.55		-0.0346651
15.65		-0.0349363
15.75		-0.0352071
15.85		-0.0354775
15.95		-0.0357475
16.05		-0.0360173
16.15		-0.0362867
16.25		-0.0365558
16.35		-0.0368247
16.45		-0.0370934
16.55		-0.0373618
16.65		-0.03763
16.75		-0.037898
16.85		-0.0381659
16.95		-0.0384337
17.05		-0.0387014
17.15		-0.0389691
17.25		-0.0392367
17.35		-0.0395043
17.45		-0.039772
17.55		-0.0400397
17.65		-0.0403075
17.75		-0.0405754
17.85		-0.0408435
17.95		-0.0411118
18.05		-0.0413804
18.15		-0.0416492
18.25		-0.0419183
18.35		-0.0421878
18.45		-0.0424577
18.55		-0.042728
18.65		-0.0429987
18.75		-0.04327
18.85		-0.0435418
18.95		-0.0438142
19.05		-0.0440873
19.15		-0.044361
19.25		-0.0446355
19.35		-0.0449107
19.45		-0.0451868
19.55		-0.0454637
19.65		-0.0457415
19.75		-0.0460203
19.85		-0.0463001
19.95		-0.0465809
20.05		-0.0468629
20.15		-0.047146
20.25		-0.0474304
20.35		-0.047716
20.45		-0.0480029
20.55		-0.0482912
20.65		-0.0485809
20.75		-0.0488721
20.85		-0.0491648
20.95		-0.0494591
21.05		-0.049755
21.15		-0.0500527
21.25		-0.0503521
21.35		-0.0506533
21.45		-0.0509564
21.55		-0.0512614
21.65		-0.0515685
21.75		-0.0518775
21.85		-0.0521887
21.95		-0.0525021
22.05		-0.0528177
22.15		-0.0531356
22.25		-0.0534558
22.35		-0.0537785
22.45		-0.0541036
22.55		-0.0544313
22.65		-0.0547616
22.75		-0.0550946
22.85		-0.0554303
22.95		-0.0557689
23.05		-0.0561103
23.15		-0.0564546
23.25		-0.0568019
23.35		-0.0571523
23.45		-0.0575058
23.55		-0.0578626
23.65		-0.0582226
23.75		-0.0585859
23.85		-0.0589527
23.95		-0.0593229
24.05		-0.0596966
24.15		-0.060074
24.25		-0.060455
24.35		-0.0608398
24.45		-0.0612284
24.55		-0.0616208
24.65		-0.0620172
24.75		-0.0624177
24.85		-0.0628222
24.95		-0.0632309
25.05		-0.0636439
25.15		-0.0640611
25.25		-0.0644827
25.35		-0.0649087
25.45		-0.0653393
25.55		-0.0657744
25.65		-0.0662142
25.75		-0.0666587
25.85		-0.067108
25.95		-0.0675622
26.05		-0.0680213
26.15		-0.0684854
26.25		-0.0689545
26.35		-0.0694289
26.45		-0.0699084
26.55		-0.0703932
26.65		-0.0708834
26.75		-0.071379
26.85		-0.0718801
26.95		-0.0723867
27.05		-0.072899
27.15		-0.073417
27.25		-0.0739408
27.35		-0.0744704
27.45		-0.075006
27.55		-0.0755475
27.65		-0.076095
27.75		-0.0766487
27.85		-0.0772086
27.95		-0.0777747
28.05		-0.0783472
28.15		-0.078926
28.25		-0.0795113
28.35		-0.0801031
28.45		-0.0807016
28.55		-0.0813067
28.65		-0.0819185
28.75		-0.0825371
28.85		-0.0831626
28.95		-0.083795
29.05		-0.0844344
29.15		-0.0850808
29.25		-0.0857344
29.35		-0.0863952
29.45		-0.0870632
29.55		-0.0877385
29.65		-0.0884213
29.75		-0.0891114
29.85		-0.0898091
29.95		-0.0905143
30.05		-0.0912272
30.15		-0.0919478
30.25		-0.0926761
30.35		-0.0934123
30.45		-0.0941563
30.55		-0.0949083
30.65		-0.0956683
30.75		-0.0964363
30.85		-0.0972125
30.95		-0.0979969
31.05		-0.0987895
31.15		-0.0995904
31.25		-0.1004
31.35		-0.101217
31.45		-0.102043
31.55		-0.102878
31.65		-0.103721
31.75		-0.104573
31.85		-0.105434
31.95		-0.106786
32.05		-0.106759
32.15		-0.106729
32.25		-0.106695
32.35		-0.106657
32.45		-0.106616
