tau [fm]		R_piNS^-1
0.25		4.13918
0.35		2.96202
0.45		2.30925
0.55		1.89428
0.65		1.60717
0.75		1.39668
0.85		1.23573
0.95		1.10865
1.05		1.00576
1.15		0.920735
1.25		0.849285
1.35		0.788392
1.45		0.735871
1.55		0.690101
1.65		0.649855
1.75		0.614186
1.85		0.582352
1.95		0.553765
2.05		0.527949
2.15		0.504518
2.25		0.483155
2.35		0.463597
2.45		0.445622
2.55		0.429046
2.65		0.41371
2.75		0.399479
2.85		0.386238
2.95		0.373886
3.05		0.362336
3.15		0.351512
3.25		0.341347
3.35		0.331782
3.45		0.322766
3.55		0.314252
3.65		0.306199
3.75		0.29857
3.85		0.291333
3.95		0.284458
4.05		0.277918
4.15		0.27169
4.25		0.26575
4.35		0.26008
4.45		0.254661
4.55		0.249478
4.65		0.244514
4.75		0.239755
4.85		0.235191
4.95		0.230807
5.05		0.226595
5.15		0.222544
5.25		0.218644
5.35		0.214888
5.45		0.211267
5.55		0.207775
5.65		0.204404
5.75		0.201148
5.85		0.198001
5.95		0.194958
6.05		0.192014
6.15		0.189163
6.25		0.186402
6.35		0.183726
6.45		0.181131
6.55		0.178613
6.65		0.17617
6.75		0.173797
6.85		0.171491
6.95		0.169251
7.05		0.167072
7.15		0.164953
7.25		0.162891
7.35		0.160883
7.45		0.158928
7.55		0.157023
7.65		0.155167
7.75		0.153356
7.85		0.151591
7.95		0.149869
8.05		0.148188
8.15		0.146547
8.25		0.144944
8.35		0.143378
8.45		0.141849
8.55		0.140353
8.65		0.138891
8.75		0.137462
8.85		0.136063
8.95		0.134694
9.05		0.133355
9.15		0.132043
9.25		0.130759
9.35		0.129501
9.45		0.128268
9.55		0.12706
9.65		0.125876
9.75		0.124716
9.85		0.123577
9.95		0.122461
10.05		0.121366
10.15		0.120291
10.25		0.119236
10.35		0.1182
10.45		0.117184
10.55		0.116185
10.65		0.115205
10.75		0.114241
10.85		0.113295
10.95		0.112364
11.05		0.11145
11.15		0.110551
11.25		0.109667
11.35		0.108798
11.45		0.107943
11.55		0.107102
11.65		0.106274
11.75		0.10546
11.85		0.104659
11.95		0.10387
12.05		0.103093
12.15		0.102329
12.25		0.101576
12.35		0.100834
12.45		0.100104
12.55		0.099384
12.65		0.098675
12.75		0.0979763
12.85		0.0972877
12.95		0.0966091
13.05		0.09594
13.15		0.0952805
13.25		0.0946301
13.35		0.0939888
13.45		0.0933563
13.55		0.0927324
13.65		0.092117
13.75		0.0915098
13.85		0.0909107
13.95		0.0903196
14.05		0.0897362
14.15		0.0891604
14.25		0.0885921
14.35		0.088031
14.45		0.0874771
14.55		0.0869302
14.65		0.0863901
14.75		0.0858568
14.85		0.08533
14.95		0.0848097
15.05		0.0842957
15.15		0.083788
15.25		0.0832863
15.35		0.0827906
15.45		0.0823008
15.55		0.0818167
15.65		0.0813383
15.75		0.0808654
15.85		0.080398
15.95		0.0799359
16.05		0.079479
16.15		0.0790273
16.25		0.0785807
16.35		0.078139
16.45		0.0777022
16.55		0.0772702
16.65		0.0768429
16.75		0.0764202
16.85		0.0760021
16.95		0.0755885
17.05		0.0751793
17.15		0.0747744
17.25		0.0743737
17.35		0.0739772
17.45		0.0735848
17.55		0.0731965
17.65		0.0728122
17.75		0.0724317
17.85		0.0720551
17.95		0.0716823
18.05		0.0713133
18.15		0.0709479
18.25		0.0705861
18.35		0.0702278
18.45		0.0698731
18.55		0.0695218
18.65		0.0691739
18.75		0.0688293
18.85		0.068488
18.95		0.06815
19.05		0.0678151
19.15		0.0674834
19.25		0.0671547
19.35		0.0668292
19.45		0.0665066
19.55		0.0661869
19.65		0.0658702
19.75		0.0655564
19.85		0.0652454
19.95		0.0649372
20.05		0.0646317
20.15		0.064329
20.25		0.0640289
20.35		0.0637314
20.45		0.0634366
20.55		0.0631443
20.65		0.0628545
20.75		0.0625672
20.85		0.0622824
20.95		0.062
21.05		0.06172
21.15		0.0614423
21.25		0.061167
21.35		0.0608939
21.45		0.0606232
21.55		0.0603546
21.65		0.0600883
21.75		0.0598241
21.85		0.0595621
21.95		0.0593021
22.05		0.0590443
22.15		0.0587885
22.25		0.0585348
22.35		0.0582831
22.45		0.0580333
22.55		0.0577856
22.65		0.0575397
22.75		0.0572958
22.85		0.0570537
22.95		0.0568135
23.05		0.0565751
23.15		0.0563386
23.25		0.0561038
23.35		0.0558708
23.45		0.0556396
23.55		0.05541
23.65		0.0551822
23.75		0.0549561
23.85		0.0547316
23.95		0.0545088
24.05		0.0542876
24.15		0.054068
24.25		0.05385
24.35		0.0536335
24.45		0.0534186
24.55		0.0532052
24.65		0.0529934
24.75		0.052783
24.85		0.0525741
24.95		0.0523667
25.05		0.0521607
25.15		0.0519561
25.25		0.051753
25.35		0.0515512
25.45		0.0513508
25.55		0.0511518
25.65		0.0509541
25.75		0.0507578
25.85		0.0505628
25.95		0.050369
26.05		0.0501766
26.15		0.0499855
26.25		0.0497956
26.35		0.0496069
26.45		0.0494195
26.55		0.0492333
26.65		0.0490483
26.75		0.0488645
26.85		0.0486819
26.95		0.0485004
27.05		0.0483201
27.15		0.048141
27.25		0.0479629
27.35		0.047786
27.45		0.0476103
27.55		0.0474356
27.65		0.0472619
27.75		0.0470894
27.85		0.0469179
27.95		0.0467475
28.05		0.0465782
28.15		0.0464098
28.25		0.0462425
28.35		0.0460762
28.45		0.0459109
28.55		0.0457466
28.65		0.0455832
28.75		0.0454209
28.85		0.0452595
28.95		0.045099
29.05		0.0449395
29.15		0.0447809
29.25		0.0446233
29.35		0.0444666
29.45		0.0443108
